CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-ORURO,JACHAJAKISASOLFESORC
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002691,12,103,76
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002701,13,35,16
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002711,1,74,87
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002721,2,68,90
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002731,3,63,82
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002741,4,23,35
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002751,1,103,85
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002761,2,96,79
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002771,3,112,71
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002781,4,74,90
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002791,5,111,69
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002801,6,92,86
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002811,7,92,95
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002821,8,90,84
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002831,9,110,75
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002841,10,95,90
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002851,11,100,71
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002861,12,92,91
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002871,13,109,65
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002881,14,105,73
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002891,15,84,94
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002901,16,106,79
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002911,17,32,23
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001831,1,84,79
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001841,2,91,76
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001851,3,102,77
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001861,4,91,81
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001871,5,83,95
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001881,6,64,43
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002921,1,109,61
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002931,2,101,75
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002941,3,82,77
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002951,4,97,65
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002961,5,106,73
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002971,6,112,70
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002981,7,109,57
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002991,8,116,61
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4003001,9,112,69
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4003011,10,105,62
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4003021,11,94,73
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4003031,12,111,60
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4003041,13,38,22
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000711,1,115,68
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000721,2,102,68
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000731,3,112,76
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000741,4,125,54
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000751,5,100,74
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000761,6,110,80
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000771,7,107,75
