CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,NGP,FRI,CHR,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001027,7,38,46,10,23,1,7,8,27,,,5,21,9
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001037,8,43,35,9,31,4,3,6,30,,,6,24,9
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001047,9,47,29,5,21,6,10,10,23,,,10,27,8
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001057,10,40,38,5,23,6,3,1,25,,,6,29,12
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001067,11,54,37,10,18,3,4,9,15,,,6,28,6
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001077,12,46,37,6,16,4,2,10,23,,,9,16,7
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001087,13,8,2,2,2,1,0,1,5,,,0,2,1
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009507,1,35,50,4,16,11,3,11,20,,,6,17,3
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009517,2,27,42,3,11,7,5,4,19,,,17,18,3
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009527,3,36,43,6,10,3,4,10,26,,,7,29,3
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009537,4,29,38,5,19,10,10,8,14,,,6,26,5
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009547,5,41,45,11,13,7,7,4,18,,,8,22,6
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009557,6,30,45,2,7,8,8,11,15,,,9,26,10
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009567,7,44,36,6,14,10,12,3,21,,,8,16,2
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009577,8,34,36,9,19,6,9,10,15,,,12,20,6
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009587,9,30,22,5,14,7,9,7,17,,,12,23,3
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004337,1,54,34,4,26,6,6,5,21,,,8,17,11
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004347,2,56,32,2,27,4,5,5,23,,,10,18,8
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004357,3,48,35,2,20,4,11,6,26,,,6,21,11
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004367,4,37,40,7,30,3,7,10,22,,,3,25,14
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004377,5,48,43,3,30,4,5,3,20,,,5,18,11
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004387,6,38,42,4,21,4,3,3,29,,,15,19,16
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004397,7,48,47,4,17,7,4,2,25,,,6,18,20
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004407,8,35,45,6,30,2,5,4,30,,,8,13,10
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004417,9,41,48,6,27,4,7,5,23,,,6,20,13
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004427,10,42,45,4,23,4,4,3,19,,,10,22,12
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004437,11,47,34,2,27,3,5,3,33,,,6,17,8
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004447,12,52,45,4,21,3,6,6,22,,,8,19,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004457,13,61,33,5,21,1,3,9,22,,,4,13,13
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004467,14,40,34,2,23,4,10,3,26,,,7,28,14
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004477,15,42,41,3,32,3,5,2,17,,,9,16,8
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004487,16,54,37,6,35,3,2,3,25,,,9,16,9
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004497,17,8,9,3,4,1,1,3,6,,,3,5,1
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003757,1,34,30,8,16,7,9,7,17,,,10,27,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003767,2,45,41,9,19,7,5,11,15,,,5,25,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003777,3,35,33,5,21,11,8,7,21,,,8,29,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003787,4,42,36,3,16,10,3,9,18,,,5,35,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003797,5,33,31,10,10,7,7,4,19,,,9,28,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003807,6,33,41,5,16,9,4,9,20,,,12,31,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003817,7,47,36,4,19,9,7,7,6,,,10,32,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003827,8,45,32,4,18,6,5,3,14,,,9,35,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003837,9,33,41,3,22,15,5,12,11,,,10,29,12
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003847,10,50,28,6,7,5,9,7,19,,,10,24,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003857,11,39,36,4,16,8,6,10,23,,,6,35,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003867,12,34,34,3,17,9,6,5,26,,,8,26,3
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003877,13,35,44,7,20,7,9,6,26,,,4,31,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003887,14,44,27,6,17,10,3,8,22,,,10,30,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003897,15,29,39,4,16,5,4,13,21,,,15,35,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003907,16,34,27,5,19,12,6,12,14,,,7,36,3
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003917,17,33,41,6,14,5,10,9,14,,,12,44,3
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003927,18,36,26,2,22,2,15,8,19,,,7,51,9
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003937,19,24,35,14,20,12,5,8,22,,,5,30,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003947,20,44,34,2,17,6,8,6,23,,,7,39,6
