CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,UN,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003217,18,,13,4,4,16,8,9,2,14,,,3,130,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003227,19,,12,3,4,10,9,4,2,5,,,1,83,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017187,1,,13,1,8,10,8,22,1,13,,,5,109,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017197,2,,16,4,2,7,10,16,5,19,,,3,95,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017207,3,,16,3,12,6,10,17,3,13,,,3,114,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017217,4,,24,5,9,11,10,16,3,14,,,6,94,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017227,5,,14,0,1,6,9,14,4,19,,,0,121,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017237,6,,12,3,7,10,16,17,1,19,,,4,108,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017247,7,,11,6,7,4,10,16,5,13,,,7,106,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017257,8,,6,5,12,5,15,22,1,20,,,5,102,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017267,9,,9,1,5,9,18,13,1,12,,,2,122,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017277,10,,10,3,4,5,9,14,3,16,,,1,129,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017287,11,,7,2,3,2,7,10,1,9,,,1,71,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000597,1,,19,1,8,9,13,14,0,15,,,2,124,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000607,2,,17,1,7,5,10,11,1,10,,,2,138,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000617,3,,11,4,6,13,10,17,2,14,,,4,123,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000627,4,,22,5,3,8,11,14,3,14,,,5,122,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000637,5,,11,2,7,12,10,15,2,11,,,0,120,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000647,6,,19,2,5,13,14,19,0,13,,,5,117,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000657,7,,14,2,4,13,14,23,0,15,,,4,111,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000667,8,,11,4,4,13,13,21,4,20,,,2,115,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000677,9,,22,2,5,9,4,17,2,14,,,5,114,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000687,10,,21,3,4,10,9,15,4,12,,,7,121,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000697,11,,17,5,12,10,4,16,0,16,,,2,115,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000707,12,,19,3,4,8,12,9,0,14,,,2,117,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000717,13,,10,5,6,9,8,14,0,12,,,2,134,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000727,14,,14,1,16,8,8,10,0,20,,,0,126,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000737,15,,11,1,4,5,9,14,0,13,,,1,139,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000747,16,,11,6,9,7,11,14,4,19,,,0,102,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000757,17,,24,3,9,8,9,16,2,13,,,2,119,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000767,18,,18,5,6,5,8,15,1,10,,,2,122,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000777,19,,12,0,2,8,7,15,0,12,,,0,133,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000787,20,,18,3,5,8,12,18,0,23,,,2,125,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000797,21,,11,3,8,9,9,18,4,8,,,0,127,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000807,22,,20,6,9,7,10,17,1,5,,,1,127,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000817,23,,5,1,4,3,12,17,0,14,,,3,66,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001137,1,,16,1,4,12,1,16,1,12,,,0,121,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001147,2,,17,1,3,12,10,13,2,5,,,4,108,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001157,3,,16,4,5,7,14,18,3,12,,,1,114,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001167,4,,28,1,3,9,15,19,2,10,,,1,111,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001177,5,,23,2,9,12,13,14,1,8,,,2,113,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001187,6,,16,5,5,15,14,18,3,10,,,1,103,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001197,7,,14,3,6,3,16,15,1,12,,,5,129,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001207,8,,13,6,5,14,15,15,1,12,,,3,118,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001217,9,,15,4,4,14,12,16,2,6,,,1,119,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001227,10,,16,3,8,8,9,15,0,10,,,2,122,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001237,11,,18,3,2,10,12,12,0,14,,,2,130,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001247,12,,17,3,9,13,4,11,4,8,,,1,128,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001257,13,,18,1,4,7,6,12,2,13,,,8,121,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001267,14,,21,4,6,17,9,12,3,10,,,3,122,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001277,15,,10,1,2,6,7,5,3,2,,,0,55,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000427,1,,21,3,8,7,8,21,0,18,,,2,99,,,,,,,,
