CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,TUFE,A-UPP,MTS,MNR,DESPIERTA,CPEM-B,PATRIA-UNIDOS,NGP
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002742,9,20,11,7,24,16,2,64,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002752,10,23,19,10,19,13,2,50,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002762,11,20,16,4,32,21,0,71,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002772,12,23,15,3,26,33,2,52,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002782,13,19,8,9,17,20,5,65,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002792,14,16,7,8,17,16,1,58,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002802,15,15,14,9,19,17,3,60,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002812,16,14,14,10,21,20,4,60,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002822,17,7,2,5,2,2,3,22,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003422,1,20,8,6,27,17,2,78,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003432,2,13,8,7,36,16,2,73,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003442,3,24,5,4,30,20,10,58,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003452,4,20,8,8,24,20,5,90,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003462,5,19,8,5,29,24,5,75,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003472,6,18,13,6,29,18,1,68,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003482,7,16,12,6,34,27,4,59,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003492,8,27,8,10,30,19,4,66,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003502,9,11,15,6,21,19,3,74,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003512,10,20,14,7,33,19,1,63,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003522,11,14,13,3,37,17,3,62,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003532,12,17,8,10,24,26,5,71,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003542,13,17,4,6,16,17,5,74,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003552,14,16,11,12,24,15,5,82,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003562,15,16,8,3,15,13,2,47,
1,Cercado,1,Trinidad,2526,Trinidad,29,(Cárcel) Cárcel De Mujeres,8000842,1,7,5,2,5,2,1,14,
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002582,1,14,9,4,20,28,3,105,
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002592,2,19,11,3,20,32,5,89,
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002602,3,25,11,4,30,24,1,83,
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002612,4,10,6,1,12,12,1,51,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001312,1,13,6,1,24,29,1,55,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001322,2,18,9,8,31,25,2,55,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001332,3,27,9,6,22,23,1,56,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001342,4,28,6,4,18,34,1,56,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001352,5,16,7,8,23,17,6,65,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001362,6,24,9,5,27,25,3,66,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001372,7,10,11,7,27,30,1,62,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001382,8,17,8,6,24,23,0,67,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001392,9,3,0,3,1,3,1,9,
1,Cercado,1,Trinidad,2526,Trinidad,32,U.E.  Gral. Hugo Banzer Suarez,8003712,1,18,12,2,21,21,6,74,
1,Cercado,1,Trinidad,2526,Trinidad,32,U.E.  Gral. Hugo Banzer Suarez,8003722,2,20,15,4,21,19,3,76,
1,Cercado,1,Trinidad,2526,Trinidad,32,U.E.  Gral. Hugo Banzer Suarez,8003732,3,3,3,1,4,9,0,17,
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000392,1,18,17,10,33,17,2,57,
