CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000811,5,36,28
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007891,1,124,56
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007901,2,116,81
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007911,3,121,72
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007921,4,103,88
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007931,5,112,72
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007941,6,105,76
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007951,7,106,78
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007961,8,80,40
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009411,1,116,72
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009421,2,107,76
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009431,3,96,92
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009441,4,99,97
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009451,5,93,103
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009461,6,111,76
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009471,7,127,71
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009481,8,114,87
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009491,9,84,68
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008041,1,79,96
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008051,2,97,78
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008061,3,89,76
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008071,4,89,77
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008081,5,75,79
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008091,6,74,90
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008101,7,78,80
