CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DEMOCRATAS,PDC,ISA,CDC,T,UNIR,PATRIA,AIR,NGP,SOMOSCHACO,MATE,APB-SUMATE,A-UPP,FAU,CCGT
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002137,7,10,0,20,3,,108,0,43,,3,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002147,8,4,0,17,3,,95,0,54,,2,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002157,9,8,0,21,2,,109,0,47,,3,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002167,10,7,0,17,5,,111,0,52,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002177,11,3,0,22,0,,101,0,61,,2,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002187,12,4,0,12,3,,69,0,22,,1,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001457,1,3,0,16,4,,106,0,61,,0,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001467,2,5,0,20,0,,100,0,52,,3,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001477,3,3,0,15,4,,113,0,59,,0,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001487,4,7,0,19,2,,109,0,50,,1,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001497,5,7,0,14,4,,115,0,54,,2,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001507,6,5,0,20,3,,94,0,61,,0,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001517,7,3,0,10,2,,89,0,37,,0,,,,5,,
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000917,1,3,0,11,1,,108,0,59,,0,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000927,2,5,0,11,0,,106,0,74,,0,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000937,3,6,0,13,5,,94,0,66,,0,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000947,4,4,0,9,1,,79,0,57,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002847,1,5,0,34,4,,83,0,41,,5,,,,5,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002857,2,9,0,34,1,,73,0,25,,4,,,,6,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002867,3,6,0,29,3,,85,0,32,,0,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002877,4,8,0,36,4,,77,0,28,,3,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002887,5,3,0,34,3,,85,0,33,,2,,,,6,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002897,6,8,0,31,7,,84,0,32,,2,,,,10,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002907,7,7,0,44,4,,79,0,29,,6,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002917,8,5,0,29,3,,92,0,29,,3,,,,6,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002927,9,7,0,33,6,,84,0,39,,4,,,,7,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002937,10,9,0,25,7,,80,0,46,,5,,,,6,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002947,11,4,0,32,7,,85,0,31,,5,,,,5,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002957,12,5,0,25,9,,75,0,33,,1,,,,5,,
