CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MNR,PATRIA-UNIDOS
1,Cercado,1,Trinidad,2526,Trinidad,29,(Cárcel) Cárcel De Mujeres,8000841,1,33,19
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002581,1,49,155
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002591,2,62,140
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002601,3,64,139
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002611,4,27,68
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001311,1,78,94
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001321,2,86,91
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001331,3,87,84
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001341,4,71,108
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001351,5,92,88
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001361,6,69,114
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001371,7,83,97
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001381,8,69,111
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001391,9,4,17
1,Cercado,1,Trinidad,2526,Trinidad,32,U.E.  Gral. Hugo Banzer Suarez,8003711,1,66,102
1,Cercado,1,Trinidad,2526,Trinidad,32,U.E.  Gral. Hugo Banzer Suarez,8003721,2,64,113
1,Cercado,1,Trinidad,2526,Trinidad,32,U.E.  Gral. Hugo Banzer Suarez,8003731,3,14,26
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000391,1,95,92
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000401,2,80,105
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000411,3,103,74
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000421,4,95,87
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000431,5,77,85
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000441,6,84,96
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000451,7,64,108
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000461,8,82,100
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000471,9,98,96
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000481,10,87,100
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000491,11,85,84
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000501,12,80,100
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000511,13,78,98
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000521,14,77,95
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000531,15,90,92
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000541,16,86,98
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000551,17,81,104
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000561,18,70,76
1,Cercado,1,Trinidad,2526,Trinidad,25027,U.E. Joaquín Hurtado Chavez,8003741,1,93,88
1,Cercado,1,Trinidad,2526,Trinidad,25027,U.E. Joaquín Hurtado Chavez,8003751,2,90,88
1,Cercado,1,Trinidad,2526,Trinidad,25027,U.E. Joaquín Hurtado Chavez,8003761,3,81,93
1,Cercado,1,Trinidad,2526,Trinidad,25027,U.E. Joaquín Hurtado Chavez,8003771,4,84,84
1,Cercado,1,Trinidad,2526,Trinidad,25027,U.E. Joaquín Hurtado Chavez,8003781,5,83,99
1,Cercado,1,Trinidad,2526,Trinidad,25027,U.E. Joaquín Hurtado Chavez,8003791,6,103,79
1,Cercado,1,Trinidad,2526,Trinidad,25027,U.E. Joaquín Hurtado Chavez,8003801,7,89,93
1,Cercado,1,Trinidad,2526,Trinidad,25027,U.E. Joaquín Hurtado Chavez,8003811,8,95,83
1,Cercado,1,Trinidad,2526,Trinidad,25027,U.E. Joaquín Hurtado Chavez,8003821,9,101,90
1,Cercado,1,Trinidad,2526,Trinidad,25027,U.E. Joaquín Hurtado Chavez,8003831,10,86,73
1,Cercado,1,Trinidad,2526,Trinidad,25028,U.E. Orlando Monasterio Claure,8001581,1,86,93
1,Cercado,1,Trinidad,2526,Trinidad,25028,U.E. Orlando Monasterio Claure,8001591,2,105,84
1,Cercado,1,Trinidad,2526,Trinidad,25028,U.E. Orlando Monasterio Claure,8001601,3,24,39
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002011,1,71,109
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002021,2,70,119
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002031,3,67,116
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002041,4,69,115
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002051,5,66,114
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002061,6,80,105
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002071,7,62,137
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002081,8,57,135
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002091,9,71,123
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002101,10,63,129
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002111,11,69,113
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002121,12,69,115
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002131,13,77,113
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002141,14,88,101
1,Cercado,1,Trinidad,2526,Trinidad,25029,U.A.B. (Carrera de Derecho),8002151,15,5,26
1,Cercado,1,Trinidad,2526,Trinidad,25030,U.E. 15 de Agosto,8001401,1,82,108
1,Cercado,1,Trinidad,2526,Trinidad,25030,U.E. 15 de Agosto,8001411,2,82,95
1,Cercado,1,Trinidad,2526,Trinidad,25030,U.E. 15 de Agosto,8001421,3,82,89
1,Cercado,1,Trinidad,2526,Trinidad,25030,U.E. 15 de Agosto,8001431,4,80,92
