CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,LIBRE,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000531,12,1,11,14,24,0,4,2,4,21,80
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000541,13,0,0,2,1,0,0,1,0,2,7
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002111,1,4,12,14,23,4,12,3,3,15,77
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002121,2,6,9,29,20,6,8,4,4,14,85
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002131,3,8,8,22,19,2,5,4,0,4,83
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002141,4,3,5,30,21,6,15,4,2,6,90
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002151,5,3,14,21,16,5,9,1,3,16,91
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002161,6,3,12,20,14,4,7,2,2,17,61
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002171,7,1,13,26,19,3,12,6,4,12,78
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002181,8,5,17,21,18,1,7,1,2,8,79
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002191,9,3,10,20,19,3,8,4,0,13,86
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002201,10,3,14,19,16,3,9,1,2,8,83
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002211,11,4,9,18,22,4,2,4,1,10,85
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002221,12,3,10,24,21,3,4,6,1,11,73
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002231,13,2,9,18,16,2,4,5,2,6,66
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002241,14,2,9,23,24,4,9,0,4,12,80
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002251,15,3,13,21,17,1,7,2,5,9,78
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002261,16,5,15,27,22,2,3,2,2,12,77
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002271,17,2,11,13,17,4,8,5,2,8,80
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002281,18,3,4,13,15,2,9,6,6,7,75
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002291,19,3,6,26,26,0,8,4,1,15,83
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002301,20,5,20,26,8,1,7,11,3,12,88
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002311,21,3,13,18,15,1,4,4,3,11,78
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002321,22,7,9,25,20,3,5,8,3,7,66
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002331,23,3,11,24,14,1,7,4,11,4,85
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002341,24,1,7,19,7,2,5,2,1,5,59
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000101,1,0,17,22,14,2,5,2,6,8,74
