CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,CDC
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005271,3,61,135
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005281,4,53,132
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005291,5,58,145
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005301,6,66,126
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005311,7,56,139
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005321,8,69,130
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005331,9,68,128
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005341,10,72,107
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005351,11,80,126
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005361,12,61,138
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005371,13,57,133
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005381,14,46,128
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004611,1,49,149
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004621,2,52,153
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004631,3,55,130
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004641,4,53,141
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004651,5,46,144
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004661,6,55,148
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004671,7,57,145
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004681,8,59,145
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004691,9,51,151
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004701,10,55,143
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004711,11,48,141
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004721,12,47,151
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004731,13,60,137
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004741,14,57,142
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004751,15,59,139
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004761,16,70,135
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004771,17,8,12
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004091,1,55,147
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004101,2,60,141
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004111,3,64,132
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004121,4,62,141
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004131,5,57,131
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004141,6,59,143
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004151,7,73,133
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004161,8,67,124
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004171,9,77,127
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004181,10,60,118
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004191,11,64,134
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004201,12,61,142
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004211,13,69,126
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004221,14,55,137
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004231,15,62,135
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004241,16,54,142
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004251,17,60,128
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004261,18,54,144
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004271,19,40,68
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6004981,1,60,134
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6004991,2,53,149
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005001,3,53,138
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005011,4,53,130
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005021,5,32,162
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005031,6,55,119
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005041,7,29,140
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005051,8,51,130
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005061,9,35,168
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005071,10,41,142
