CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,TUFE,A-UPP,MTS,MNR,DESPIERTA,CPEM-B,PATRIA-UNIDOS,NGP
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002592,2,20,5,0,21,27,4,83,2
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002602,3,12,5,4,28,23,3,78,4
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002612,4,4,2,0,10,10,1,47,0
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001312,1,9,5,1,21,25,0,42,0
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001322,2,16,9,6,20,16,1,41,0
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001332,3,19,8,3,16,18,0,48,1
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001342,4,19,7,1,13,28,2,41,1
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001352,5,12,7,4,13,14,6,51,1
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001362,6,18,7,2,14,25,1,55,0
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001372,7,9,10,1,17,31,1,52,0
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001382,8,11,6,4,13,19,0,62,3
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001392,9,3,0,4,1,3,0,6,1
1,Cercado,1,Trinidad,2526,Trinidad,32,U.E.  Gral. Hugo Banzer Suarez,8003712,1,11,9,4,16,15,3,70,1
