CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,PATRIA-UNIDOS,A.S.,MNR,NGP,APP,LIBRE,DEMOCRATAS,A-UPP,APB-SUMATE,UN,CAOP,PDC
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002041,14,1,36,84,5,0,34,7,0,2,5,0,0,3
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002051,15,1,21,55,5,1,13,3,0,5,1,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001591,1,2,47,100,2,0,33,1,2,1,3,0,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001601,2,6,52,93,3,1,17,3,4,4,3,1,3,1
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001611,3,5,55,110,1,3,16,0,0,3,1,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001621,4,1,56,92,1,3,23,1,5,3,1,0,3,0
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001631,5,7,39,107,0,5,14,6,2,1,5,1,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001641,6,0,43,104,1,5,21,2,1,3,1,2,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001651,7,1,42,93,0,2,31,2,0,3,4,0,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001661,8,2,26,109,0,2,25,3,2,3,4,2,5,0
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001671,9,8,36,84,2,1,19,1,1,1,4,1,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001681,10,3,54,91,1,2,23,2,0,3,1,0,7,0
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002801,1,2,50,64,6,0,67,5,0,1,3,1,1,2
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002811,2,2,52,73,9,0,44,3,0,2,6,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002821,3,1,54,70,9,0,50,8,0,2,5,2,2,4
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002831,4,2,64,68,8,1,47,4,1,2,2,1,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002841,5,1,30,34,7,2,28,1,1,1,2,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,28,Esc. Gregorio Barriga,5002851,1,2,64,55,5,1,66,2,0,2,2,1,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,28,Esc. Gregorio Barriga,5002861,2,0,9,6,1,0,5,2,0,0,0,1,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005281,1,1,58,77,8,2,43,4,0,3,0,0,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005291,2,1,41,109,4,1,30,2,1,2,3,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005301,3,3,52,92,5,5,29,4,0,2,0,0,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005311,4,3,60,84,4,4,36,3,0,3,6,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005321,5,4,64,84,1,2,35,1,0,1,1,1,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005331,6,1,62,99,3,2,31,2,1,2,0,0,1,1
