CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DESPIERTA,PATRIA-UNIDOS,TUFE,MNR,NGP,CPEM-B,A-UPP
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002332,4,8,29,79,11,,3,3,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002342,5,13,15,93,20,,3,3,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002352,6,11,15,90,16,,2,5,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002362,7,11,10,94,26,,4,3,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002372,8,13,16,85,13,,3,1,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002382,9,12,15,104,16,,1,2,
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002392,10,6,12,83,20,,3,1,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002662,1,12,25,68,24,,4,2,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002672,2,5,24,70,16,,5,2,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002682,3,15,17,56,23,,4,2,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002692,4,8,18,57,21,,4,3,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002702,5,10,16,66,16,,3,3,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002712,6,12,15,64,19,,6,3,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002722,7,9,15,63,19,,2,1,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002732,8,11,16,63,33,,5,3,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002742,9,5,17,61,25,,4,2,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002752,10,13,14,58,20,,3,4,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002762,11,12,19,80,20,,2,1,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002772,12,11,32,61,20,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002782,13,11,24,63,16,,4,4,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002792,14,10,19,58,16,,4,4,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002802,15,13,14,63,15,,4,5,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002812,16,16,22,68,13,,3,3,
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002822,17,4,1,26,6,,0,3,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003422,1,7,19,79,24,,0,3,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003432,2,6,20,78,13,,4,3,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003442,3,11,17,68,25,,4,9,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003452,4,11,16,109,21,,0,2,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003462,5,11,22,76,25,,2,5,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003472,6,10,14,82,19,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003482,7,12,21,72,18,,5,5,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003492,8,6,12,78,23,,5,5,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003502,9,5,17,71,23,,8,2,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003512,10,9,21,67,23,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003522,11,12,11,72,22,,2,5,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003532,12,11,25,79,17,,3,5,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003542,13,7,17,85,13,,1,6,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003552,14,12,16,91,19,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,27,U.E. Villa Vecinal,8003562,15,7,12,53,15,,0,3,
1,Cercado,1,Trinidad,2526,Trinidad,29,(Cárcel) Cárcel De Mujeres,8000842,1,4,2,16,5,,1,1,
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002582,1,15,20,114,13,,2,4,
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002592,2,9,23,104,23,,3,5,
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002602,3,20,17,99,21,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,30,U.E. San Francisco De Asís,8002612,4,11,6,52,9,,1,2,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001312,1,9,30,52,18,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001322,2,8,19,60,19,,1,1,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001332,3,5,20,66,25,,2,1,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001342,4,4,31,58,29,,1,2,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001352,5,8,16,65,15,,2,5,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001362,6,5,25,72,25,,0,1,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001372,7,5,33,67,9,,2,4,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001382,8,10,23,75,15,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,31,U.E. Mangalito,8001392,9,2,3,9,4,,2,0,
1,Cercado,1,Trinidad,2526,Trinidad,32,U.E.  Gral. Hugo Banzer Suarez,8003712,1,6,15,92,13,,0,4,
1,Cercado,1,Trinidad,2526,Trinidad,32,U.E.  Gral. Hugo Banzer Suarez,8003722,2,8,13,87,22,,3,4,
1,Cercado,1,Trinidad,2526,Trinidad,32,U.E.  Gral. Hugo Banzer Suarez,8003732,3,1,8,19,5,,0,0,
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000392,1,10,21,62,17,,4,1,
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000402,2,3,13,83,16,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000412,3,9,21,75,14,,0,4,
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000422,4,17,23,69,20,,4,3,
1,Cercado,1,Trinidad,2526,Trinidad,40,U.E.  13 de Abril,8000432,5,17,19,77,22,,3,3,
