CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,FRI,CHR,NGP,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000787,2,24,38,5,25,3,3,16,14,,,2,8,15
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000797,3,29,27,3,33,3,5,13,14,,,5,11,12
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000807,4,43,24,3,24,3,5,10,5,,,0,13,15
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000817,5,12,12,1,7,0,3,4,8,,,0,4,5
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007897,1,49,19,4,19,9,5,15,10,,,4,13,6
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007907,2,48,30,4,23,5,11,13,7,,,1,11,6
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007917,3,39,16,1,22,6,6,17,16,,,7,11,10
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007927,4,42,18,4,20,6,9,17,11,,,3,18,7
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007937,5,43,24,7,17,9,11,20,11,,,0,10,5
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007947,6,38,31,5,25,4,9,11,17,,,5,11,4
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007957,7,41,23,8,16,8,8,19,10,,,4,18,4
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007967,8,26,12,1,16,2,7,8,9,,,1,4,5
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009417,1,37,38,3,23,1,12,17,6,,,7,19,10
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009427,2,33,37,3,17,12,20,13,7,,,1,12,7
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009437,3,30,39,6,16,6,10,16,2,,,4,10,11
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009447,4,34,36,4,17,6,8,23,7,,,3,17,13
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009457,5,26,22,7,14,7,11,9,8,,,5,16,6
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009467,6,31,33,2,20,1,11,23,5,,,5,13,11
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009477,7,29,28,3,27,5,15,12,4,,,8,12,7
