CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UN,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000467,5,,,11,3,5,5,13,12,4,19,,4,68,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000477,6,,,14,2,8,12,15,8,4,13,,1,51,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000487,7,,,16,3,1,6,13,13,7,11,,4,67,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000497,8,,,11,8,9,12,16,11,6,9,,1,77,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000507,9,,,12,5,3,8,8,15,3,15,,4,79,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000517,10,,,10,3,12,4,10,6,2,15,,5,78,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000527,11,,,16,4,3,6,16,10,2,10,,2,97,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000537,12,,,11,2,6,13,13,11,2,16,,3,91,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000547,13,,,1,0,0,0,1,2,0,2,,2,7,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002117,1,,,18,4,5,6,15,8,3,11,,4,93,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002127,2,,,8,2,6,7,28,15,4,12,,6,100,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002137,3,,,8,7,4,8,20,14,4,7,,4,88,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002147,4,,,14,5,4,12,22,11,2,4,,3,109,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002157,5,,,10,6,9,7,26,10,2,9,,0,108,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002167,6,,,13,5,5,7,26,12,3,14,,1,69,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002177,7,,,7,7,6,19,19,11,3,12,,1,100,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002187,8,,,14,2,3,17,12,14,2,7,,2,90,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002197,9,,,19,3,5,12,20,8,3,6,,1,99,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002207,10,,,11,2,4,14,23,9,1,8,,0,90,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002217,11,,,8,4,6,10,20,9,4,3,,3,101,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002227,12,,,11,3,13,11,17,12,5,9,,1,86,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002237,13,,,9,4,4,14,9,7,2,3,,0,85,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002247,14,,,12,6,5,12,22,9,3,10,,3,84,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002257,15,,,13,3,6,14,15,6,2,7,,2,91,,,,,,,,
