CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-UNIDOS,MTS,A.S.,APP,DEMOCRATAS,A-UPP,PDC,UN,CAOP,NGP,APB-SUMATE,LIBRE,CAOCH,CONACH-W,CSUTOAPCH,A-P,ASCAP,JAP,S-P,MNR,POR
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002517,3,20,11,17,7,1,2,2,3,5,4,13,13,,,,,1,4,19,12,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002527,4,22,10,23,5,5,0,3,3,4,9,14,5,,,,,3,6,11,16,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002537,5,25,10,17,6,2,1,4,2,5,14,9,7,,,,,4,7,12,11,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002547,6,19,13,27,6,1,0,9,2,4,5,9,9,,,,,6,7,16,15,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002557,7,20,13,22,7,2,4,4,4,1,1,19,4,,,,,2,16,11,16,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002567,8,22,14,23,7,1,1,4,5,4,8,8,7,,,,,2,11,15,11,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002577,9,17,14,19,7,2,0,1,1,3,10,6,4,,,,,2,11,10,10,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002587,10,14,12,13,17,2,2,3,5,4,8,6,3,,,,,1,5,19,17,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002597,11,19,19,20,3,0,1,2,6,0,5,13,9,,,,,7,5,9,23,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002607,12,20,21,23,2,2,1,2,4,1,5,6,9,,,,,3,8,16,13,
