CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,LIBRE,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000521,11,2,13,8,30,2,8,1,4,20,104
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000531,12,2,15,11,46,7,4,2,0,32,88
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000541,13,0,0,0,4,1,0,1,0,1,11
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002111,1,2,13,6,41,1,12,1,2,20,96
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002121,2,7,13,12,37,5,7,2,2,15,100
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002131,3,9,11,16,40,1,10,4,1,8,93
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002141,4,5,9,13,42,1,12,3,3,10,101
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002151,5,5,17,16,32,6,6,2,1,21,92
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002161,6,0,13,16,33,2,10,2,4,23,82
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002171,7,0,17,17,36,6,11,3,5,19,81
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002181,8,2,14,19,48,3,11,2,1,12,91
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002191,9,6,14,14,36,2,8,5,0,26,98
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002201,10,3,15,14,37,2,9,1,4,14,101
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002211,11,3,14,13,38,2,6,1,4,17,102
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002221,12,5,10,11,43,1,7,6,3,16,93
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002231,13,2,14,11,41,1,4,5,3,16,94
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002241,14,3,21,15,39,5,8,2,2,15,91
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002251,15,2,15,15,39,1,10,2,6,13,98
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002261,16,7,19,8,36,3,3,2,5,18,105
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002271,17,5,13,9,36,3,11,4,0,16,95
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002281,18,1,8,8,48,2,9,3,6,19,87
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002291,19,4,9,15,42,4,8,3,2,19,90
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002301,20,6,25,13,21,2,11,5,2,15,97
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002311,21,4,21,12,29,3,5,1,6,21,90
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002321,22,8,15,14,35,1,4,2,3,9,93
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002331,23,6,17,20,27,2,10,5,4,12,100
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002341,24,2,11,14,23,4,4,2,0,6,72
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000101,1,3,22,17,32,2,8,4,5,15,89
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000111,2,4,19,21,26,2,6,0,1,15,101
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000121,3,7,24,16,29,2,4,1,2,11,100
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000131,4,8,13,16,43,5,7,3,3,20,76
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000141,5,10,12,18,35,1,5,2,2,22,82
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000151,6,5,18,20,32,4,9,2,6,19,84
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000161,7,7,26,17,28,3,4,4,3,10,94
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000171,8,8,19,18,38,2,9,0,2,27,74
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000181,9,4,23,23,40,1,8,4,2,14,83
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000191,10,10,25,18,37,3,11,2,3,28,65
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000201,11,5,23,20,29,1,5,3,3,21,93
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000211,12,9,19,22,38,4,4,2,1,19,80
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000221,13,3,18,22,28,2,4,1,6,24,97
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000231,14,6,14,13,18,4,4,3,2,33,87
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000241,15,4,12,15,41,2,12,5,2,19,76
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000251,16,6,15,12,39,1,10,6,8,20,81
